# Strain, Stress
0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-02,3.145485856922575181e+02
3.200000000000000067e-02,4.746400321559585223e+02
4.800000000000000794e-02,5.340140723361035953e+02
6.400000000000000133e-02,5.672692182787927777e+02
8.000000000000000167e-02,5.882567163180593752e+02
4.000000000000000083e-02,-2.233916947616131097e+02
